Category,Department,Keywords,Severity
Cybercrime,Head of Cyber Crime Bureau,"account compromised, phishing, pop-up scam, online stalking, hacking incident",Medium
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, illegal prescriptions, drug money, substance abuse, drug exchanges, narcotic sales",Low
Fraud,Head of Financial Crimes Unit,"unauthorized purchase, wire fraud, gift card scam, mail fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"malware, cyber fraud, cryptocurrency scam, online harassment, webcam hacked, strange messages",Low
Fraud,Head of Financial Crimes Unit,"medicare fraud, fake email, check fraud, romance scam, card got charged, money disappeared",Critical
Fraud,Head of Financial Crimes Unit,"bank scam, identity stolen, advance fee fraud",Critical
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, drug money, drug related, drug exchanges, street drugs, sketchy behavior",Critical
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, email compromise, digital theft, internet scam, cyber espionage, cyber extortion",Low
Assault,Commissioner of Law Enforcement,"unprovoked attack, violent behavior, violent attack, school violence",High
Cybercrime,Head of Cyber Crime Bureau,"computer infected, computer virus, strange messages, breach",High
Drug-Related Offenses,Chief of Narcotics Control,"drug meetup, suspicious visitors, designer drugs",Low
Fraud,Head of Financial Crimes Unit,"insurance fraud, ripped off, tech support scam, fake currency, social security fraud",Low
Theft,Directorate of Police,"commercial burglary, emptied my, snatched, stolen property, disappeared with, items missing",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, synthetic drugs, illegal substances, heroin, drug drops, drug related",High
Theft,Directorate of Police,"auto theft, catalytic converter theft, smartphone theft, lifted my wallet, property theft, stealing",High
Cybercrime,Head of Cyber Crime Bureau,"cyber threat, strange messages, denial of service, website defacement",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug overdose, constant visitors, drug exchanges",High
Drug-Related Offenses,Chief of Narcotics Control,"synthetic drugs, people coming and going, marijuana",Critical
Assault,Commissioner of Law Enforcement,"assault with weapon, street fight, violent confrontation",High
Fraud,Head of Financial Crimes Unit,"payment fraud, took my money, counterfeit, romance scam, social security fraud, welfare fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"possession, street drugs, drug ring, cocaine, strange odors",Critical
Cybercrime,Head of Cyber Crime Bureau,"account hacked, strange messages, phishing, identity breach, suspicious login",Low
Fraud,Head of Financial Crimes Unit,"identity stolen, mortgage fraud, loan fraud",Medium
Theft,Directorate of Police,"taken from my car, pinched my, vehicle break-in, broke in and took, shoplifting",Low
Fraud,Head of Financial Crimes Unit,"employment fraud, corporate fraud, romance scam, loan fraud, insurance scam, unauthorized purchase",Low
Assault,Commissioner of Law Enforcement,"violent attack, physical threat, violent confrontation",High
Theft,Directorate of Police,"bike gone, stole from me, break-in, snatched, laptop stolen",Low
Drug-Related Offenses,Chief of Narcotics Control,"strange odors, drug overdose, drug house, drug enforcement",Low
Fraud,Head of Financial Crimes Unit,"forgery, fake currency, fake email, loan fraud",Low
Fraud,Head of Financial Crimes Unit,"insurance scam, tech support scam, identity stolen",High
Theft,Directorate of Police,"took my stuff, petty theft, nicked my",Critical
Assault,Commissioner of Law Enforcement,"assault and battery, domestic violence, trying to fight, getting in my face, road rage incident, attack",Medium
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, constant visitors, lots of traffic",Critical
Fraud,Head of Financial Crimes Unit,"fake job offer, took my money, fake email, phone scam, investment fraud, financial deception",Low
Assault,Commissioner of Law Enforcement,"threatening, armed assault, knocked me down, physical threat",High
Theft,Directorate of Police,"shoplifting, burglary, petty theft, vehicle break-in",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, drug dealing, drug laboratory",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber bullying, tech support scam, database breach",High
Cybercrime,Head of Cyber Crime Bureau,"account compromised, cyber extortion, cyber stalking, phishing, spyware, hacking incident",Medium
Assault,Commissioner of Law Enforcement,"trying to fight, weapon assault, got into a fight, throwing things, beat me up",High
Cybercrime,Head of Cyber Crime Bureau,"spam emails, malware, data theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, opioids, drug cartel, controlled substances, pharmaceutical theft, methamphetamine",Medium
Cybercrime,Head of Cyber Crime Bureau,"social media scam, cyberstalking, spam emails, computer infected",Critical
Assault,Commissioner of Law Enforcement,"punch, brutal attack, assault with weapon, bodily harm, armed assault, physical abuse",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber attack, tech support scam, identity stolen online, computer virus, data leak",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug laboratory, drug paraphernalia, drug overdose, illegal prescription, drug sale",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber blackmail, malware, weird emails",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug money, drug meetup, crack cocaine",Low
Assault,Commissioner of Law Enforcement,"trying to fight, road rage incident, bodily harm",Critical
Assault,Commissioner of Law Enforcement,"brutal attack, gang violence, got attacked",Low
Drug-Related Offenses,Chief of Narcotics Control,"ecstasy, drug addiction, substance abuse, selling drugs, needles found",Medium
Assault,Commissioner of Law Enforcement,"picked a fight, bar fight, aggressive behavior, attacked me, attack, came at me",High
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, network intrusion, digital theft, social media hack, suspicious login",High
Assault,Commissioner of Law Enforcement,"threw punches, pushed me around, battery",High
Theft,Directorate of Police,"theft from vehicle, auto theft, missing",Low
Theft,Directorate of Police,"shoplifting, taken from my car, car gone, retail theft, broke in and took",Medium
Assault,Commissioner of Law Enforcement,"physical harassment, workplace violence, getting violent, knocked me down",Medium
Theft,Directorate of Police,"jewelry theft, broke in and took, pinched my",Low
Theft,Directorate of Police,"disappeared with, ransacked, broke into my house, petty theft, cleaned out my",High
Theft,Directorate of Police,"taken from my car, made off with, laptop stolen",Low
Cybercrime,Head of Cyber Crime Bureau,"website defacement, online stalking, cyber blackmail, cyber extortion, account hacked",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, drug cultivation, suspicious transactions, dealing from car",Low
Theft,Directorate of Police,"catalytic converter theft, made off with, steal, residential burglary, grand theft",Low
Fraud,Head of Financial Crimes Unit,"payment fraud, strange transaction, fake job offer",High
Assault,Commissioner of Law Enforcement,"gang violence, got jumped, physical threat, threatening, punch",Medium
Fraud,Head of Financial Crimes Unit,"payment fraud, investment scam, strange transaction, advance fee fraud",Critical
Fraud,Head of Financial Crimes Unit,"bank scam, ripped off, money laundering",Medium
Fraud,Head of Financial Crimes Unit,"embezzlement, tax fraud, bank scam, financial deception, money laundering",Critical
Fraud,Head of Financial Crimes Unit,"cheating, took my money, fraud",Critical
Fraud,Head of Financial Crimes Unit,"securities fraud, money disappeared, cheating, healthcare fraud, counterfeit",Low
Assault,Commissioner of Law Enforcement,"brutal attack, violent attack, started swinging, battery, attacked me",High
Drug-Related Offenses,Chief of Narcotics Control,"fentanyl, drug exchanges, sketchy behavior, drug drops, drug enforcement, drug meetup",High
Assault,Commissioner of Law Enforcement,"brutal attack, trying to fight, got beaten",Medium
Fraud,Head of Financial Crimes Unit,"investment fraud, bank fraud, medicare fraud, mail fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"online stalking, online impersonation, online scam",Critical
Theft,Directorate of Police,"property theft, retail theft, storage unit theft, stole from me, package theft, stolen package",Critical
Assault,Commissioner of Law Enforcement,"trying to fight, fight, physical intimidation, gang violence, punch",High
Theft,Directorate of Police,"nicked my, storage unit theft, copper wire theft, stolen from my yard, purse snatching",Medium
Fraud,Head of Financial Crimes Unit,"healthcare fraud, cheating, lottery scam",Low
Theft,Directorate of Police,"theft, purse snatching, laptop stolen, ran off with",High
Cybercrime,Head of Cyber Crime Bureau,"breach, spam emails, data leak, account hacked",Low
Theft,Directorate of Police,"theft from vehicle, grand theft, stolen package, catalytic converter theft",Medium
Fraud,Head of Financial Crimes Unit,"tech support scam, financial deception, credit card, internet fraud, investment scam, pretending to be",High
Assault,Commissioner of Law Enforcement,"attacked me, punch, unprovoked attack",Medium
Theft,Directorate of Police,"residential burglary, made off with, someone took my, porch pirate, commercial burglary",Critical
Theft,Directorate of Police,"vehicle break-in, petty theft, broke in and took",High
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, website defacement, identity breach, online harassment, cyber blackmail",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug dealing, fentanyl, illegal substances, controlled substances, narcotics",Low
Fraud,Head of Financial Crimes Unit,"ripped off, suspicious charge, bank scam, check fraud, advance fee fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, drug enforcement, methamphetamine",Critical
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, ransomware, cyber extortion, identity stolen online, online stalking, email compromise",Critical
Theft,Directorate of Police,"package theft, pinched my, shoplifting, purse snatching",High
Cybercrime,Head of Cyber Crime Bureau,"online harassment, strange messages, online scam, email scam",Critical
Assault,Commissioner of Law Enforcement,"brutal attack, got attacked, weapon assault, punch",Critical
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, cyber blackmail, fake profile, social media scam",High
Cybercrime,Head of Cyber Crime Bureau,"credential theft, email scam, suspicious activity online, webcam hacked",Critical
Cybercrime,Head of Cyber Crime Bureau,"online harassment, email hacked, online harassment, social engineering, online scam, hacked",High
Theft,Directorate of Police,"ran off with, took my stuff, lifted my wallet, shoplifting",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crystal meth, drug paraphernalia, drug exchanges, methamphetamine",Critical
Cybercrime,Head of Cyber Crime Bureau,"email scam, cyber attack, computer infected, social media hack, phishing",High
Drug-Related Offenses,Chief of Narcotics Control,"drug enforcement, weird smell, crystal meth, prescription drugs",High
Fraud,Head of Financial Crimes Unit,"counterfeit, got scammed, internet fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"keylogger, credential theft, network intrusion, weird emails, cyber bullying, website defacement",Critical
